"Use the up, down, leff, and right arrows to navigate the worksheet"
Effective Sales and Use Tax Rates
Location,Rate,County,Type,Notes
Sierra County,7.2499999999999995E-2,Sierra,County
Sierra Madre,0.105,Los Angeles,City
Signal Hill,0.105,Los Angeles,City
Simi Valley,7.2499999999999995E-2,Ventura,City
Siskiyou County,7.2499999999999995E-2,Siskiyou,County
Solana Beach,8.7499999999999994E-2,San Diego,City
Solano County,7.3749999999999996E-2,Solano,County
Soledad,9.2499999999999999E-2,Monterey,City
Solvang,8.7499999999999994E-2,Santa Barbara,City
Sonoma,0.10249999999999999,Sonoma,City
Sonoma County,9.2499999999999999E-2,Sonoma,County
Sonora,8.7499999999999994E-2,Tuolumne,City
South El Monte,0.1075,Los Angeles,City
South Gate,0.1075,Los Angeles,City
South Lake Tahoe,8.7499999999999994E-2,El Dorado,City
South Pasadena,0.105,Los Angeles,City
South San Francisco,9.8750000000000004E-2,San Mateo,City
Stanislaus County,7.8750000000000001E-2,Stanislaus,County
Stanton,8.7499999999999994E-2,Orange,City
St. Helena,8.2500000000000004E-2,Napa,City
Stockton,0.09,San Joaquin,City
Suisun City,9.1249999999999998E-2,Solano,City
Sunnyvale,9.1249999999999998E-2,Santa Clara,City
Susanville,8.2500000000000004E-2,Lassen,City
Sutter County,7.2499999999999995E-2,Sutter,County
Sutter Creek,8.7499999999999994E-2,Amador,City
Taft,8.2500000000000004E-2,Kern,City
Tehachapi,8.2500000000000004E-2,Kern,City
Tehama,7.2499999999999995E-2,Tehama,City
Tehama County,7.2499999999999995E-2,Tehama,County
Temecula,8.7499999999999994E-2,Riverside,City
Temple City,9.7500000000000003E-2,Los Angeles,City
Thousand Oaks,7.2499999999999995E-2,Ventura,City
Tiburon,8.2500000000000004E-2,Marin,City
Torrance,0.10249999999999999,Los Angeles,City
Tracy,8.2500000000000004E-2,San Joaquin,City
Trinidad,9.5000000000000001E-2,Humboldt,City
Trinity County,7.2499999999999995E-2,Trinity,County
Truckee,0.09,Nevada,City
Tulare,8.2500000000000004E-2,Tulare,City
Tulare County,7.7499999999999999E-2,Tulare,County
Tulelake,7.2499999999999995E-2,Siskiyou,City
Tuolumne County,7.2499999999999995E-2,Tuolumne,County
Turlock,8.6249999999999993E-2,Stanislaus,City
Tustin,7.7499999999999999E-2,Orange,City
Twentynine Palms,7.7499999999999999E-2,San Bernardino,City
Ukiah,8.8749999999999996E-2,Mendocino,City
Union City,0.1075,Alameda,City
Upland,7.7499999999999999E-2,San Bernardino,City
Vacaville,8.1250000000000003E-2,Solano,City
Vallejo,9.2499999999999999E-2,Solano,City
Ventura,7.7499999999999999E-2,Ventura,City
Ventura County,7.2499999999999995E-2,Ventura,County
Vernon,0.105,Los Angeles,City
Victorville,8.7499999999999994E-2,San Bernardino,City
Villa Park,7.7499999999999999E-2,Orange,City
Visalia,8.5000000000000006E-2,Tulare,City
Vista,8.2500000000000004E-2,San Diego,City
Walnut,9.7500000000000003E-2,Los Angeles,City
Walnut Creek,9.2499999999999999E-2,Contra Costa,City
Wasco,8.2500000000000004E-2,Kern,City
Waterford,7.8750000000000001E-2,Stanislaus,City
Watsonville,9.7500000000000003E-2,Santa Cruz,City
Weed,7.4999999999999997E-2,Siskiyou,City
West Covina,9.7500000000000003E-2,Los Angeles,City
West Hollywood,0.105,Los Angeles,City
Westlake Village,9.7500000000000003E-2,Los Angeles,City
Westminster,9.2499999999999999E-2,Orange,City
Westmorland,7.7499999999999999E-2,Imperial,City
West Sacramento,9.2499999999999999E-2,Yolo,City
Wheatland,7.7499999999999999E-2,Yuba,City
Whittier,0.105,Los Angeles,City
Wildomar,8.7499999999999994E-2,Riverside,City
Williams,8.2500000000000004E-2,Colusa,City
Willits,9.1249999999999998E-2,Mendocino,City
Willows,8.7499999999999994E-2,Glenn,City
Windsor,9.2499999999999999E-2,Sonoma,City
Winters,8.2500000000000004E-2,Yolo,City
Woodlake,8.7499999999999994E-2,Tulare,City
Woodland,0.08,Yolo,City
Woodside,9.375E-2,San Mateo,City
Yolo County,7.2499999999999995E-2,Yolo,County
Yorba Linda,7.7499999999999999E-2,Orange,City
Yountville,7.7499999999999999E-2,Napa,City
Yreka,8.7499999999999994E-2,Siskiyou,City
Yuba City,7.2499999999999995E-2,Sutter,City
Yuba County,Yuba,County,Please refer to the applicable tax rates for the unincorporated area and incorporated cities within Yuba County.
Yuba County Unincorporated Area,8.2500000000000004E-2,Yuba,County,This tax rate applies only to unincorporated areas of Yuba County. Please refer to the applicable incorporated city within the county for that city's tax rate.
Yucaipa,8.7499999999999994E-2,San Bernardino,City
Yucca Valley,8.7499999999999994E-2,San Bernardino,City
