Location,Rate,Rate_Percent,County,Type,Notes
McFarland,0.0825,8.25,Kern,City,
Mendocino County,0.07875,7.875,Mendocino,County,
Mendota,0.09225,9.225,Fresno,City,
Menifee,0.0875,8.75,Riverside,City,
Menlo Park,0.09375,9.375,San Mateo,City,
Merced,0.0825,8.25,Merced,City,
Merced County,0.0775,7.75,Merced,County,
Millbrae,0.09375,9.375,San Mateo,City,
Mill Valley,0.0925,9.25,Marin,City,
Milpitas,0.09375,9.375,Santa Clara,City,
Mission Viejo,0.0775,7.75,Orange,City,
Modesto,0.08875,8.875,Stanislaus,City,
Modoc County,0.0725,7.249999999999999,Modoc,County,
Mono County,0.0725,7.249999999999999,Mono,County,
Monrovia,0.105,10.5,Los Angeles,City,
Montague,0.0725,7.249999999999999,Siskiyou,City,
Montclair,0.09,9.0,San Bernardino,City,
Montebello,0.105,10.5,Los Angeles,City,
Monterey,0.0925,9.25,Monterey,City,
Monterey County,0,0,County,Please refer to the applicable tax rates for the unincorporated area and incorporated cities within Monterey County.,
Monterey County Unincorporated Area,0.0875,8.75,Monterey,County,This tax rate applies only to unincorporated areas of Monterey County. Please refer to the applicable incorporated city within the county for that city's tax rate.
Monterey Park,0.105,10.5,Los Angeles,City,
Monte Sereno,0.09125,9.125,Santa Clara,City,
Moorpark,0.0725,7.249999999999999,Ventura,City,
Moraga,0.0975,9.75,Contra Costa,City,
Moreno Valley,0.0875,8.75,Riverside,City,
Morgan Hill,0.09125,9.125,Santa Clara,City,
Morro Bay,0.0875,8.75,San Luis Obispo,City,
Mountain House,0.0775,7.75,San Joaquin,City,
Mountain View,0.09125,9.125,Santa Clara,City,
Mount Shasta,0.075,7.5,Siskiyou,City,
Murrieta,0.0875,8.75,Riverside,City,
Napa,0.0875,8.75,Napa,City,
Napa County,0.0775,7.75,Napa,County,
National City,0.0875,8.75,San Diego,City,
Needles,0.0775,7.75,San Bernardino,City,
Nevada City,0.08875,8.875,Nevada,City,
Nevada County,0.075,7.5,Nevada,County,
Newark,0.1075,10.75,Alameda,City,
Newman,0.07875,7.875,Stanislaus,City,
Newport Beach,0.0775,7.75,Orange,City,
Norco,0.0875,8.75,Riverside,City,
Norwalk,0.105,10.5,Los Angeles,City,
Novato,0.0925,9.25,Marin,City,
Oakdale,0.08375,8.375,Stanislaus,City,
Oakland,0.1075,10.75,Alameda,City,
Oakley,0.0875,8.75,Contra Costa,City,
Oceanside,0.0825,8.25,San Diego,City,
Ojai,0.0725,7.249999999999999,Ventura,City,
Ontario,0.0875,8.75,San Bernardino,City,
Orange,0.0775,7.75,Orange,City,
Orange County,0.0775,7.75,Orange,County,
Orange Cove,0.07975,7.9750000000000005,Fresno,City,
Orinda,0.0975,9.75,Contra Costa,City,
Orland,0.0825,8.25,Glenn,City,
Oroville,0.0925,9.25,Butte,City,
Oxnard,0.0925,9.25,Ventura,City,
Pacifica,0.09875,9.875,San Mateo,City,
Pacific Grove,0.0925,9.25,Monterey,City,
Palmdale,0.1125,11.25,Los Angeles,City,
Palm Desert,0.0875,8.75,Riverside,City,
Palm Springs,0.0925,9.25,Riverside,City,
Palo Alto,0.09125,9.125,Santa Clara,City,
Palos Verdes Estates,0.0975,9.75,Los Angeles,City,
Paradise,0.0875,8.75,Butte,City,
Paramount,0.105,10.5,Los Angeles,City,
Parlier,0.08975,8.975,Fresno,City,
Pasadena,0.105,10.5,Los Angeles,City,
Paso Robles,0.0875,8.75,San Luis Obispo,City,
Patterson,0.07875,7.875,Stanislaus,City,
Perris,0.0775,7.75,Riverside,City,
Petaluma,0.1025,10.25,Sonoma,City,
Pico Rivera,0.1075,10.75,Los Angeles,City,
Piedmont,0.1025,10.25,Alameda,City,
Pinole,0.1025,10.25,Contra Costa,City,
Pismo Beach,0.0825,8.25,San Luis Obispo,City,
Pittsburg,0.0925,9.25,Contra Costa,City,
Placentia,0.0875,8.75,Orange,City,
Placer County,0.0725,7.249999999999999,Placer,County,
Placerville,0.0825,8.25,El Dorado,City,
Pleasant Hill,0.0925,9.25,Contra Costa,City,
Pleasanton,0.1025,10.25,Alameda,City,
Plumas County,0.0725,7.249999999999999,Plumas,County,
Plymouth,0.0775,7.75,Amador,City,
Point Arena,0.0925,9.25,Mendocino,City,
Pomona,0.105,10.5,Los Angeles,City,
Porterville,0.0925,9.25,Tulare,City,
Port Hueneme,0.0875,8.75,Ventura,City,
Portola,0.0725,7.249999999999999,Plumas,City,
Portola Valley,0.09375,9.375,San Mateo,City,
Poway,0.0775,7.75,San Diego,City,
Rancho Cordova,0.0875,8.75,Sacramento,City,
Rancho Cucamonga,0.0775,7.75,San Bernardino,City,
Rancho Mirage,0.0775,7.75,Riverside,City,
Rancho Palos Verdes,0.0975,9.75,Los Angeles,City,
Rancho Santa Margarita,0.0775,7.75,Orange,City,
Red Bluff,0.075,7.5,Tehama,City,
Redding,0.0725,7.249999999999999,Shasta,City,
Redlands,0.0875,8.75,San Bernardino,City,
Redondo Beach,0.0975,9.75,Los Angeles,City,
Redwood City,0.09875,9.875,San Mateo,City,
Reedley,0.09225,9.225,Fresno,City,
Rialto,0.0775,7.75,San Bernardino,City,
Richmond,0.0975,9.75,Contra Costa,City,
Ridgecrest,0.0925,9.25,Kern,City,
Rio Dell,0.095,9.5,Humboldt,City,
Rio Vista,0.09125,9.125,Solano,City,
Ripon,0.0775,7.75,San Joaquin,City,
Riverbank,0.07875,7.875,Stanislaus,City,
Riverside,0.0875,8.75,Riverside,City,
Riverside County,0.0775,7.75,Riverside,County,
Rocklin,0.0725,7.249999999999999,Placer,City,
Rohnert Park,0.0975,9.75,Sonoma,City,
Rolling Hills,0.0975,9.75,Los Angeles,City,
Rolling Hills Estates,0.0975,9.75,Los Angeles,City,
Rosemead,0.0975,9.75,Los Angeles,City,
Roseville,0.0775,7.75,Placer,City,
Ross,0.0825,8.25,Marin,City,
Sacramento,0.0875,8.75,Sacramento,City,
Sacramento County,0.0775,7.75,Sacramento,County,
Salinas,0.0925,9.25,Monterey,City,
San Anselmo,0.0925,9.25,Marin,City,
San Benito County,0.0825,8.25,San Benito,County,
San Bernardino,0.0875,8.75,San Bernardino,City,
San Bernardino County,0.0775,7.75,San Bernardino,County,
San Bruno,0.09875,9.875,San Mateo,City,
San Carlos,0.09375,9.375,San Mateo,City,
San Clemente,0.0775,7.75,Orange,City,
Sand City,0.0925,9.25,Monterey,City,
San Diego,0.0775,7.75,San Diego,City,
San Diego County,0.0775,7.75,San Diego,County,
San Dimas,0.0975,9.75,Los Angeles,City,
